时段,分数,妻子情况,子女情况,丈夫情况
戌,15,强妻,一子,夫偕
亥,1,有妾,多子,又再嫁
亥,2,强夫,无子,和妻
亥,3,亡妻,少子,亡夫
亥,4,有妻,少子,有夫
亥,5,贤妻,三子,夫兴
亥,6,亡妻,多子,亡夫
亥,7,丧妻,多子,丧失
亥,8,有妻,二子,有夫
亥,9,续妻,少子,夫兴
亥,10,亡妾,少子,亡犬
亥,11,强妾,一子,夫又丧
亥,12,佳妻,无子,和夫
亥,13,无妻,多子,无夫
亥,14,偕妻,四子,再嫁
亥,15,无妻,无子,无夫
