时段,刻数,父母情况,弟兄情况,爻象
子,1,父母壽,多兄弟,爻中乾得
子,2,喪,兄弟少,爻上乾得
子,3父母喪,兄弟四五,爻初亁得
子,4父喪母壽,兄弟多,爻初坤得
子,5,父母喪,無兄弟,爻中坤得
子,6,父母壽,無兄弟,巽離兌
子,7,父壽母喪,兄弟二三,爻上坤得
子,8,父喪,無兄弟,震坎艮
丑,1,父壽母喪,兄弟四五,爻中乾得
丑,2,母壽,兄弟二三,爻上乾得
丑,3父喪,兄弟四五,爻初亁得
丑,4父母喪,兄弟四五,爻初坤得
丑,5,母喪,兄弟少,爻中坤得
丑,6,父母喪,無兄弟,巽離兌
丑,7,父母壽,兄弟少,爻上坤得
丑,8,母壽父喪,少兄弟,震坎艮
寅,1,父喪母壽,兄弟四五,爻中乾得
寅,2,母壽,兄弟多,爻上乾得
寅,3父母喪,兄弟二三,爻初亁得
寅,4父壽母喪,兄弟二三,爻初坤得
寅,5,父喪,無兄弟,爻中坤得
寅,6,母喪,兄弟少,巽離兌
寅,7,父母喪,兄弟四五,爻上坤得
寅,8,父母壽,兄弟少,震坎艮
卯,1,父壽母喪,兄弟多,爻中乾得
卯,2,喪母壽,兄弟二三,爻上乾得
卯,3父母壽,兄弟四五,爻初亁得
卯,4父母喪,兄弟無,爻初坤得
卯,5,父喪,兄弟多,爻中坤得
卯,6,母喪,兄弟少,巽離兌
卯,7,父母壽,兄弟二三,爻上坤得
卯,8,父母喪,兄弟二三,震坎艮
辰,1,父壽母喪,兄弟三四,爻中乾得
辰,2,母壽,兄弟無,爻上乾得
辰,3父母喪,兄弟四五,爻初亁得
辰,4父壽母喪,兄弟四五,爻初坤得
辰,5,父母壽,兄弟二三,爻中坤得
辰,6,父母喪,兄弟少,巽離兌
辰,7,母喪,兄弟無,爻上坤得
辰,8,父喪,兄弟無,震坎艮
巳,1,父母壽,兄弟四五,爻中乾得
巳,2,喪,兄弟四五,爻上乾得
巳,3父壽母喪,兄弟二三,爻初亁得
巳,4父母喪,兄弟二三,爻初坤得
巳,5,父喪母壽,兄弟無,爻中坤得
巳,6,父母壽,兄弟少,巽離兌
巳,7,父壽母喪,兄弟二三,爻上坤得
巳,8,父母喪,兄弟少,震坎艮
午,1,父母喪,兄弟四五,爻中乾得
午,2,壽,兄弟四五,爻上乾得
午,3父母壽,兄弟多,爻初亁得
午,4母喪,兄弟無,爻初坤得
午,5,父母壽,兄弟二三,爻中坤得
午,6,父壽母喪,兄弟多,巽離兌
午,7,父母喪,兄弟二三,爻上坤得
午,8,父喪母壽,兄弟二三,震坎艮
未,1,父壽母喪,兄弟多,爻中乾得
未,2,母喪,兄弟無,爻上乾得
未,3父壽母喪,兄弟二三,爻初亁得
未,4母喪,兄弟二三,爻初坤得
未,5,父喪母壽,兄弟無,爻中坤得
未,6,父母壽,兄弟無,巽離兌
未,7,父母壽,兄弟二三,爻上坤得
未,8,父母喪,兄弟二三,震坎艮
申,1,父喪母壽,兄弟四五,爻中乾得
申,2,喪,兄弟四五,爻上乾得
申,3父母壽,兄弟四五,爻初亁得
申,4父母喪,兄弟四五,爻初坤得
申,5,父壽母喪,兄弟無,爻中坤得
申,6,父母喪,兄弟多,巽離兌
申,7,父喪,兄弟無,爻上坤得
申,8,父母壽,兄弟二三,震坎艮
酉,1,父母喪,兄弟二三,爻中乾得
酉,2,喪,兄弟二三,爻上乾得
酉,3父母壽,兄弟無,爻初亁得
酉,4父喪母壽,兄弟二三,爻初坤得
酉,5,父喪,兄弟無,爻中坤得
酉,6,父壽母喪,兄弟少,爻上乾得
酉,7,父母喪,兄弟少,爻初亁得
酉,8,父母壽,兄弟多,爻初坤得
戌,1,父壽,兄弟二三,爻中乾得
戌,2,喪,兄弟四五,爻上乾得
戌,3父母喪,兄弟四五,爻初亁得
戌,4父壽母喪,兄弟四五,爻初坤得
戌,5,父母喪,兄弟二三,爻中坤得
戌,6,父喪母壽,兄弟少,巽離兌
戌,7,父母壽,兄弟四五,爻上坤得
戌,8,母喪,兄弟二三,震坎艮
亥,1,父母喪,兄弟無,爻中乾得
亥,2,喪母壽,兄弟二三,爻上乾得
亥,3父母喪,兄弟無,爻初亁得
亥,4父母壽,兄弟多,爻初坤得
亥,5,父喪,兄弟四五,爻中坤得
亥,6,父喪,兄弟二三,爻上乾得
亥,7,父母喪,兄弟二三,爻初亁得
亥,8,父母壽,兄弟二三,爻初坤得
