1117,子,见机而作，可以无患。,(23 24)
1118,子,江边风雨滩头急，钓得鱼来失却钩。,(21 22)
1119,子,绿暗红稀春色老，即随流水去不归。,(61)
1120,子,金章颁北阙，广棘寺深思。
1121,子,斯年就有，孝服之忧。,(17 18)
1122,子,妻生二子，妾生二儿。
1123,子,子陵钓于富春江，悠然自得。,(49 50)
1124,子,六阴之象，事不安宁。,(57 58)
1125,子,云连山径，树色模糊。,(29 30)
1126,子,父死之年，人子不幸。,(20)
1127,子,数有偏祜，妻生目。
1128,子,数定明刑宫，至大理寺卿。,(45 46)
1129,子,鸟得其所，饮啄自如。,(49 50)
1130,子,中秋月色，分外光明。
1131,子,知己论心解，我心傲重喜。,(55 56)
1132,子,马遇康庄，可以驰驱。,(43 44)
1133,子,命带暗疾，一自不明。
1134,子,鸦同行，吉凶自分。,(13 14)
1135,子,微雨洒暗天，正恼人时候。,(37 38)
1136,子,谢安选胜东山，终日饮酒。,(63 64)
1137,子,妻生二子，妾生一儿。
1138,子,玉洞桃花，锦绣炫目。,(69 70)
1139,子,无兄只一弟，庶母而生。
1140,子,风散云收，月色千里。,(23 24)
1141,子,逆旅穷途，得一知己喜洋洋。,(49.50)
1142,子,门中交争，分明破财。,(21 22)
1143,子,未能长驱，车脱其轮。,(56)
1144,子,日落西沉，人在暗中行。,(33 34)
1145,子,走过他乡，茫然无处归宿。,(39 40)
1146,子,为人多性良，一生无大患。
1147,子,圣武恢张四海安，皇恩远庇九州庆。
1148,子,青春柳眼眉，春光美十分。,(17 18)
1149,子,幸得室家欢聚，阴阳有鬼主刑妻。,(57)
1150,子,夕阳西下，一片彩霞。,(63 64)
1151,子,生涯惟有几行书，常伴青毡度岁时。
1152,子,好运正当兴，玉出荆山色自明。,(25 26)
1153,子,财源恩星，从此而曜。,(57 58)
1154,子,事积如麻，且招其祸。,(41 42)
1155,子,丰年，衣食饶裕。,(51 52)
1156,子,不山不水问渔樵，踪迹无常谓子虚。
1157,子,阳春布暖，天气晴明。,(35 36)
1158,子,日晨之离，鼓岳而歌。,(81 82)
1159,子,美玉无瑕玷，晴天细雨飞。,(33 34)
1160,子,南楼花影度栏杆，寂寞柴门夜色寒。,(23 24)
1161,子,托祖宗庇护，甘心守法律。
1162,子,蔽日烟尘，行道塞滞。,(27 28)
1163,子,盘根错节之时，坚持利器。,(19 20)
1164,子,东西南北，处处有逢迎。,(55 56)
1165,子,小小经营成家富，微微立业创成基。,(51 52)
1166,子,有正已格物之风，笃人臣事君之义。
1167,子,花发上林，锦乡夺目。,(35 36)
1168,子,披剪荆棘，为力之难。,(41 42)
1169,子,谋定无忧，贵人点头。,(45 46)
1170,子,耳顺欠二年，椿庭入黄泉。,(58)
1171,子,蓝关雪拥，马不能前。,(52)
1172,子,寒窗飞暗雨，万事系人怀。,(57 58)
1173,子,鸟栖于树，绿阴正长。,(37 38)
1174,子,尘封宝镜，晦滞之中应有份。,(39 40)
